name,country,contact_person,email,products,division
Shri Bajrang Power & Ispat Ltd.,India,91-9826425018,manish.dhir@goelgroup.co.in,not producing 65%Mn in FeMn,ORES AND ALLOYS
SRG Minerals and Metals,India,91-9969272968,srgminmet@gmail.com,HCFEMN-60/65/70%,ORES AND ALLOYS
Super Smelters Ltd - India,India,"91 8420141483  
9830200785 
9330011021 ",saurabh.mukerji@supershakti.in,HCFEMN-70/75%,ORES AND ALLOYS
Astha Ferro Alloys,India,,"gautam.afapl@gmail.com
yash@asthaferroalloys.com",HCFEMN-70-72/ 75-77,ORES AND ALLOYS
Bihar Foundary,India,"7803052643 
917566505669
 9631087691"," gbudhia@gmail.com   exim.bfcl@gmail.com  
rishi.bfcl@gmail.com","HCFEMN-70, 75, 78% With Phos 0.15%max",ORES AND ALLOYS
"Zestafoni Ferroalloys Plant
Georgian Manganese LLC (GM)",Georgia,,"chancellery@vhpp.ge
gm-chancellery@gm.ge
info@gm.ge
office@gm.ge",,ORES AND ALLOYS
Chiaturmanganum Georgia LLC,Georgia,,"BERIDZE@CHMG.COM.GE
MISHA.JANIASHVILI@YAHOO.COM
INFO@CHMG.COM.GE
KVITAISHVILI.A@CHMG.COM.GE
CHMGMN@GMAIL.COM",,ORES AND ALLOYS
RUSALLOYS Ltd,Georgia,995 322 24 40 60,info@rusalloys.com,,ORES AND ALLOYS
Kaz Ferro Chrome,Kazakhstan,,"sales@kazferrogroup.kz
office@kazferrogroup.kz",,ORES AND ALLOYS
Georgia Metal LLC,Georgia,0099-5599184777,antadze.ga@gmail.com,HCFEMN,ORES AND ALLOYS
Trans Alloys,South Aferica,41-796779477,yves.boverat@afrominerals.ch,HCFEMN,ORES AND ALLOYS
Jai Balaji Industries Ltd.,India,+91 9230616691,tahmeed@jaibalajigroup.com, (Not Produce this time),ORES AND ALLOYS
Nava Bharat Ventures Ltd,India,,divakar.k@navalimited.com,Not Produce this time(30/8/2022),ORES AND ALLOYS
Mineral Zone (Pty) Ltd,South Aferica,.+27(0) 62 524 4801  , sandy@mineralzonesa.com   claude@mineralzonesa.com; ,,ORES AND ALLOYS
Bangladesh steel rolling mill,Bangladesh,88 0312854901,,,ORES AND ALLOYS
Amar Ferro Alloys Ltd,Zambia,+91 9449313485,rashmi@amarferroalloys.com,HEFEMN 75,ORES AND ALLOYS
"ChangXing Ferroalloy Resources Co.,Ltd",China,86 18317337771,lang@cxferroalloy.com,Mn99.7%min C:0.04% max S:0.05% max P:0.005% max Si:0.01% max Fe:0.03% max Se:0.1%max,ORES AND ALLOYS
"BH Minerals Co.,Ltd",China,86-13898833430,fl.zhao@hotmail.com,LCFECR/FEV/,ORES AND ALLOYS
"Zhenxin Metallurgical Materials Co., Ltd.",China,86 15565711616 ,sale05@zxferroalloy.com,LCFECR,ORES AND ALLOYS
"Anyang Penghang Metallurgical Refractory Co., LTD",China,86 139 3868 0719,Sales3@phyjnc.com,LCFECR,ORES AND ALLOYS
"ANYANG HONGSHUN INDUSTRIAL CO.,LTD.",China,86-18567796851,nancy@hongshunalloy.com,LCFECR,ORES AND ALLOYS
Lanzhou Sunrising Ferroalloys Co.Ltd ,China,8618919127224        86 18919106734  , info@westfesi.com sales@westfesi.com ,LCFECR,ORES AND ALLOYS
Anyang feng fan silicon industries co ltd,China,86- 18738288474,ayffgygs@163.com,LCFECR,ORES AND ALLOYS
Anyang County Changfeng Ferroalloy Factory.,China,86 155 1881 9994,sales@aycf-metal.com,LCFECR,ORES AND ALLOYS
"SINOGU INDUSTRY CO., LTD
YUANJIN INDUSTRIAL LIMITED / Erdos Xijing Mining and Metallurgy Limited.",China,86-15807711280,sales@sinogu.com,LCFECR,ORES AND ALLOYS
Henan Xinxin Silicon Alloy Co.Ltd.,China,86-372-5375259,judy@ferrosialloy.com,LCFECR,ORES AND ALLOYS
V-Resource Ltd,China,86-13787087383,wusongqin@v-resource.com,LCFECR 0.03%C,ORES AND ALLOYS
"Anyang Jinfengda Metallurgical Co., Ltd.",China,+86 18749310967,meng@ayjfd.com,LCFECR / Mg Metal,ORES AND ALLOYS
"Anyang Jinyuan Supply Chain Management Co., Ltd.",China,"86 18749310967
86 15226180657","sales01.jsc@jscferroalloy.com
jingjlily@gmail.com 
emma@ayjfd.com
jscferroalloy@jscferroalloy.com",LCFECR,ORES AND ALLOYS
"HK WSM STEEL SERVICE CO. , LIMITED",China,86 155 151 00024,sale@wsm-stlsvc.com,,ORES AND ALLOYS
"Anyang KongFang Metallurgical New Material Technology Co., Ltd",China,86 135 26120097,info@kfferrosilicon.com,,ORES AND ALLOYS
ALL MINMETAL (AMI Metallurgical HK Ltd),China,"85-269332060
85-260247088 / 
86-19518796771
86-18898831629","cynthiacui@amim.com.hk
kevinlam@amim.com.hk
christinaning@ami-group.co",,ORES AND ALLOYS
"Anyang County jiacheng Metallurgy Refractory Co., Ltd",China,86-18839705885,han@ayjcmetallurgy.com,,ORES AND ALLOYS
"ChangXing Ferroalloy Resources Co.,Ltd",China,"86 18317337771
86-18637233145","lang@cxferroalloy.com
alex@cxferroalloy.com","MCFeCr Cr: 60% min And 65% min, C:1%-2%max
LCFeCr Cr: 60% min And 65%min, C:0.5%-0.25%max
LCFeCr Cr: 60% min And 65% min, C: 0.03%-0.1%max",ORES AND ALLOYS
"Anyang Huahengfan Metallurgical Refractories Co.,Ltd",China,86 13569099603,"doris@huahengfan.com
yundi@huahengfan.com",,ORES AND ALLOYS
"Inner Mongolia Jinzhong Chemical Co., Ltd",China,86-17331026089,vivian@jinzhongchem.com,,ORES AND ALLOYS
"Shenyang Credit Metal Co., Ltd",China,86-15241830286,chen.su123@qq.com,,ORES AND ALLOYS
Eastop,China,86-28-85369961,info@eastopsc.com,,ORES AND ALLOYS
"Henan Yunzhao Metal Material Co., Ltd",China,,yaokun1112@outlook.com,,ORES AND ALLOYS
"Foosoon Trading Co., Ltd",,"86-15603722230
86-16668336325","admin@foosoonhk.com
sale@foosoonhk.com",,ORES AND ALLOYS
Jai Balaji Industries Ltd.,India,9230616691,tahmeed@jaibalajigroup.com,LCFECR,ORES AND ALLOYS
BALASORE ALLOYS LIMITED,India,"86-13911798061
9073975541

9903557436","Singhvijay@hotmail.com 
vijaysingh@ispat-china.com
suman.mondal@balasorealloys.com

prasanna.rout@balasorealloys.com","LCFECR- Cr%- 60&65%only
Gr1-Cr70,Si-1.5,C-0.18, S-0.03, P-0.04,Al-1.5
Gr2-Cr60,Si-1.5,C-0.10, S-0.03, P-0.04,Al-1.5
Size- 10-50, 10-150mm",ORES AND ALLOYS
Indiano Chrome Pvt Ltd,India,"91-9923429544
91-9699714293","bajaj@indianoferro.com
sales@indianoferro.com
marketing@indianoferro.com
info@indianoferro.com",LCFECR,ORES AND ALLOYS
 SKP Group (NNP Ferro Alloys Pvt. Ltd),India,"9903967121
+91-6292280117

7908911066","amit.majumder@skpgroup.in
dipankar.skpmerchants@gmail.com

sgm.marketing@skpgroup.in- Domastic
deepankar.kumar@skpgroup.in- Domastic",LCFECR,ORES AND ALLOYS
Shyam Group,India,8100127258,"cral@shyamgroup.com mnal@shyamgroup.com krishanu.singha@shyammetalics.com
debajyoti.biswas@shyamgroup.com","Cr-65% C-0.15%min(Not Below)
divya.sinha@shyamgroup.com",ORES AND ALLOYS
Access Metals Industries  ,India,91- 7001079050  ,sales@accessindustriesindia.com,LCFECR,ORES AND ALLOYS
"ETIMET 
Eti Elecktrometalurji A.S.",Turkey,,info@etimet.com,LCFECR,ORES AND ALLOYS
indiano Global LLC (Indiano Alloys & Minerals Redefined),UAE,971-561644816,mayank@indianoglobal.com,Coke/LCFECR,ORES AND ALLOYS
Jai Balaji Industries Ltd.,India,9230616691,tahmeed@jaibalajigroup.com,"check grade then send inquiry-Grades Manufacture:-
Cr 65% Si 1% & 2%
Cr 60% Si 1.5% & 2%",ORES AND ALLOYS
Arrk Ferro Alloys LLP,India,9163219664,raghav@arrkferro.com,Cr-60/58% ok with Low Si,ORES AND ALLOYS
 SKP Group (NNP Ferro Alloys Pvt. Ltd),India,"9903967121
+91-6292280117

7908911066","amit.majumder@skpgroup.in
dipankar.skpmerchants@gmail.com

sgm.marketing@skpgroup.in- Domastic
deepankar.kumar@skpgroup.in- Domastic","Cr-60%,58%",ORES AND ALLOYS
BALASORE ALLOYS LIMITED,India,"86-13911798061
9073975541

9903557436","Singhvijay@hotmail.com 
vijaysingh@ispat-china.com
suman.mondal@balasorealloys.com

prasanna.rout@balasorealloys.com","At Present produce- Cr58% (04/10/2023)
Cr-60, 65",ORES AND ALLOYS
Surya Alloys Industries Limited,India,9830141144,abhinav1610@gmail.com,Direct Turkey Export  20/04/2023- Regret offer  ,ORES AND ALLOYS
FACOR Alloys Limited,India,0091 11 41072935,"rks@falgroup.in
kishor@falgroup.in","sold out may 2023
Regret- 04/05/2023",ORES AND ALLOYS
Rungta Industries (Tirumala Balaji),India,9830088987,arindam@rungtaindustries.com;  manoj@rungtaindustries.com,"Offer after 20May, Cr-60%Regret 05 sept2023",ORES AND ALLOYS
Shyam Group,India, 9874322454,"debajyoti.biswas@shyamgroup.com

cral@shyamgroup.com (Not Send in inquiry) mnal@shyamgroup.com krishanu.singha@shyammetalics.com","Cr- 58%,
we don't produce such high grade with low Si HCFC- Si-1.50%max (22/06/2023)",ORES AND ALLOYS
Jajoo Group,,9636499999,suraj@jajoogroup.com,,ORES AND ALLOYS
Shakambhari  Group of Industries.,India,9330011021    7605076366,"bivas.ganguly@shakambharigroup.in
mridul.agarwal@shakambharigroup.in","producing 60% Cr min, Not 58% min.",ORES AND ALLOYS
Rashmi Group,India,9007563320,"smghosh@rashmigroup.com
siribabu@rashmigroup.com
chinmoy.bc@rashmigroup.com
shravan.jha@rashmigroup.co.in
basudev.sarkar@rashmigroup.com","Cr-58%,",ORES AND ALLOYS
Lalwani Ferro Alloys Ltd.,India,8013338212,"marketing@lalwaniferroalloys.com
sandeep@lalwaniferroalloys.com",Not in Production- 11/09/2023,ORES AND ALLOYS
Indian Metals & Ferro Alloys Limited (IMFA),India,91-7077773315,anshulmishra@imfa.in,HCFECR-50% Not In production now-30/03/2024,ORES AND ALLOYS
Tata Steel (Ferro Alloys Div.),India,"91-9262692112 
91 7719964228","ankit.babde@tatasteel.com
nirmalya.mandal1@tatasteel.com",HCFECR-60% Si-3%(Not Producing now Si-1.5%)- 03/04/2024,ORES AND ALLOYS
Golden Crystal International,South Aferica Zimbabwe,,kartik@goldencrystalinternational.com,HCFECR- 55%,ORES AND ALLOYS
Indsil Group of companies,Oman,,"skraju@atifoman.com
unreddy@atifoman.com
krishnendu@atifoman.com","Cr 58% Min, 60%Regret 5sept2023",ORES AND ALLOYS
Shah Alloys,India,,meghal.shah@salsteel.co.in,HCFECR,ORES AND ALLOYS
Part Gowal Giti Company,Iran,,partgowal.sahar@gmail.com,HCFECR,ORES AND ALLOYS
Shyam Group,India,8100127258,exportsales@shyamgroup.com cral@shyamgroup.com mnal@shyamgroup.com krishanu.singha@shyammetalics.com,FESI,ORES AND ALLOYS
Lakshmi Metals & Alloys Pvt Ltd Vizianagram,India,9845075755,lmaplgvd@gmail.com,FESI,ORES AND ALLOYS
Berry Alloys Ltd,India,"91-8359000060
65-98951280",mktg@berryalloys.com  mktg@srmcommercials.com,"Fesi
Only domestic, Not export",ORES AND ALLOYS
Maithan Alloys Ltd,India,9434080301,"office@maithanalloys.com 
marketing@maithanalloys.com","Fesi
Only domestic, Not export",ORES AND ALLOYS
Maithan Steel & Power Limited ,India,9647659399,ab@maithansteel.com,"FeSi- 70/75, C-0.10, Al-1.0, Phos-0.10 Producing only SiMn Now 06/05/2024",ORES AND ALLOYS
Pioneer Carbide Pvt Ltd,India,94-35617777,"utkarsh@pcpl.co
sales@pcpl.co","Fesi-63,65,68,72",ORES AND ALLOYS
Gasgen Ferro Alloys,India,,"corporate@gasgenferro.com
sales@gasgenferro.com",Fesi,ORES AND ALLOYS
Rhodium Ferro Alloys Pvt Ltd,India,,rhodium@ferroalloys.net ,Fesi,ORES AND ALLOYS
RNB Carbides and Ferro Alloys Pvt Ltd.,India,91-8132953936,ferro@Rnbgroup.org ,Fesi,ORES AND ALLOYS
Nava Bharat Ventures Ltd,India,+91 99484 44114,divakar.k@navalimited.com,Fesi,ORES AND ALLOYS
Bhutan Carbide & Chemicals,Bhutan,91-9674323886,bcclmktg.cal@gmail.com,FESI70%,ORES AND ALLOYS
Druk Wang Alloys Limited,Bhutan,971 17 11 04 34  +975-5-251307,"dwal.mkt@gmail.com
chimidn@yahoo.com
drukwang@gmail.com",FESI,ORES AND ALLOYS
"Druk Ferro Alloys Limited,",Bhutan,,"drukferro2011@gmail.com 
knamgyel2002@gmail.com",FESI,ORES AND ALLOYS
SD Eastern Bhutan Ferro Silicon Pvt.Ltd,Bhutan,"91- 7086888790
975-17131830",salesbhutan2021@gmail.com salessdbhutan@gmail.com rajkumar_patro@yahoo.com  talukdarngp1@gmail.com,,ORES AND ALLOYS
Ugen Ferro Alloys Pvt. Ltd,Bhutan,"9831058811
9932021000","bhutanshreyan@gmail.com
rishibhutan@gmail.com",FESI,ORES AND ALLOYS
,Bhutan,9830971110,sandipghosh@taiind.com,,ORES AND ALLOYS
Rima Industrial S/A,Brazil,,jrf@rima.com.br,FESI,ORES AND ALLOYS
The Egyptian Ferroalloys co.,Egypt,1064584478,"fatma_ewis@yahoo.com
eidmohlel@yahoo.com
sharabiefaco@hotmail.com
sharabiefaco@gmail.com
ehab.efaco@gmail.com",FESI,ORES AND ALLOYS
ALL MINMETAL (AMI Metallurgical HK Ltd),China,"85-269332060
85-260247088 / 
86-19518796771
86-18898831629","cynthiacui@amin.com.hk
kevinlam@amim.com.hk
christinaning@ami-group.co","SIMN, FEMN HC, FEMN MC, FEMN LC, FECR HC, FECR LC, FEB, FEMGSI, BASI, BACASI, FEZRSI, FESRSI, FESI RE, FEP, FES, FETI, FEV, FEMO, FENB, MG GRANULAR, MG ALLOY, MN METAL FLAKES, MN METAL LUMP, MN POWDER, MN BRIQUETTE, SI METAL LUMP, SI POWDER, CA METAL LUMP, CA GRANULAR, HIGH PURITY CA, CA SOLID WIRE, MISCHMETAL METAL INGOT, CR METAL, CAMG, CAAL, MNAL, NITRIDED MN METAL, CASI, FEMGSI, CA GRANULAR, CA SOLID WIRE, FEB, BASI, FESI RE, CALCINED PET. COKE, STEEL STRIPS, FETI, FEMO, FEV, NITRIDED MN METAL, NITRIDED FESI, NITRIDED FECR, CALCIUM CYANIDE",ORES AND ALLOYS
Anyang County Changfeng Ferroalloy Factory.,China/ Hongkong,86 155 1881 9994,sales@aycf-metal.com,"SIMN
FEMN HC
FEMN MC
FEMN LC
FECR HC
FECR LC
FEB
FEMGSI
BASI
BACASI
FEZRSI
FESRSI
FESI RE
FEP
FES
FETI
FEV
FEMO
FENB

MG GRANULAR
MG ALLOY
MN METAL FLAKES
MN METAL LUMP
MN POWDER
MN BRIQUETTE
SI METAL LUMP
SI POWDER
CA METAL LUMP
CA GRANULAR
HIGH PURITY CA
CA SOLID WIRE
MISCHMETAL METAL INGOT
CR METAL
CAMG
CAAL
MNAL
NITRIDED MN METAL

(Casi Cored wire Filled with Material) ----
CASI
FEMGSI
CA GRANULAR
CA SOLID WIRE
FEB
BASI
FESI RE
CALCINED PET. COKE
STEEL STRIPS
FETI
FEMO
FEV
NITRIDED MN METAL
NITRIDED FESI
NITRIDED FECR
CALCIUM CYANIDE",ORES AND ALLOYS
"Anyang County jiacheng Metallurgy Refractory Co., Ltd",China,86-18839705885,han@ayjcmetallurgy.com,"Ferro silicon, 
High Purity(HP) Ferro silicon, 
Atomized Ferro Silicon, 
Low Carbon (LC)Ferro Chrome, 
High Carbon Ferro Silicon, 
Electrolytic Manganese Flake, 
Silicon Metal, 
Ferro Manganese, 
Silicon ball, 
Silicon carbide, 
Coal Briquette and 
Graphite Petroleum Cokes (GPC)",ORES AND ALLOYS
Anyang feng fan silicon industries co ltd,China,86- 18738288474,ayffgygs@163.com,"FESI-45,65,72,75%",ORES AND ALLOYS
"Anyang Guoqi Silicon Industry Co.,Ltd",China,86-18633897900,"sales02@siliconxg.com
manager@siliconxg.com
sales03@siliconxg.com","Dinesh Sharma:
Low Aluminum Silicon 
L C Ferro Manganese
L C Ferro Chrome 
H C Ferro Manganese 
H C Ferro Chrome 
Calcium Silicon Alloy 
Silicon Manganese Alloy
Electrolytic Manganese Metal
Ferro Silicon Manganese
Ferro Silicon Zirconium
MetaL Calcium
Electrolytic Manganese
Manganese Metal
Magnesium Metal
Silicon Zirconium
Silicon Chromium
Silicon Chromium Alloy
High Carbon Ferro Silicon 
Silicon Nitride
Antimony Ingot 
Mg Ingot 
High Carbon Ferro Chrome Low Carbon Ferro Chrome High Carbon Ferro Manganese Low Carbon Ferro Manganese  
Micro Carbon Ferro Manganese 
Calcium Silicon 
Si-Al-Ca-Ba Alloy 
Ferro Calcium Silicon 
Silicon Barium 
Ferro Titanium 
Calcium Aluminum Alloy 
Ferro Silicon Barium 
Silicon Manganese Briquette Silicon Zirconium
Ferro Silicon Nitride 
Ferro Silicon
Silicon Manganese 
Silicon Calcium Barium Alloy
High Carbon Silicon ",ORES AND ALLOYS
"Anyang Hongshun Industria Co.,Ltd.",China,"86-18567796851
86-18837209569","nancy@hongshunalloy.com
jassie@hongshunalloy.com","Ferro Silicon Lump 10-50mm Ferro Silicon Granule 
Calcium Silicon 
High Carbon Silicon 
Silicon Briquette 
Silicon Metal Lump 
Ferro Silicon Lump 
Ferro Silicon 
Ferro Silicon Alloy Granule 
Ferro Silicon Powder 
Calcium Silicon Lump 
Calcium Silicon Alloy
Ferro Silicon Briquette
Ferro Silicon Ball
High Quality Ferro Silicon Briquette
High Carbon Slicon Alloy
Silicon carbon alloy
Silicon Briquette
Silicon Metal
",ORES AND ALLOYS
"Anyang Huahengfan Metallurgical Refractories Co.,Ltd",China,86 13569099603,doris@huahengfan.com,"Producer-
Ferro Manganese- LC/MC/HC
Silicon Metal-2202/3303/411/421/441/551/553 
silicon carbon alloy and Powder-Si45/50/55/60/65/68
Trader-
cored wire- CaSi/CaAl/CaFe/CaSiBa/BaSiAl/CaSiAl/Carbon Raiser/ReFeSiMg/FeTi 
Ferro Chrome- Lc/Mc/Hc
silicon manganese alloy, 
silicon carbide, 
ferrosilicon,-65/72/75/75with LowAl
Ferro Silicom Powder
Ferro Silicon Ball
Calcium Silicon
Silicon Slag
Electrolytic Manganese Metal Flake
Recarburize
Al-Mn-Fe Alloy
Silicon Aluminum Barium Calcium Alloy
Silicon Aluminum Ferro
Ferrosilicon Inoculant
Nodulizer(FeSiMgRe Alloy)",ORES AND ALLOYS
"Anyang Huatuo Metallurgy Co., Ltd",China,86 18037296649,luna@sialloy.com,"FESI- 70,72,75",ORES AND ALLOYS
"Anyang Jbt Metallurgical Refractory Co.,Ltd.",China,"86 15937282819   
86-15836388218","tom@ayjbtmetal.com 
sales@ayjbt.com","Silicon Carbon Alloy
Silicon Metal
Silicon Carbide
Ferro Silicon
Silicon Slag
Calcium Silicon
Cored Wire
Ferro Chrome
Ferro Manganese
Micro Silica
Silicon Briquette
Recarburizer
Barium Silicon
Ferro Silicon Magnesium
SiAIBaCa Alloy
Ferro Phosphorus
Inoculant
Iron Pyrite
FerroSilicon Briquette
Pulverized Coal Injection
Graphite Briquette",ORES AND ALLOYS
"Anyang Jinfang Metallurgy Co.,Ltd",China,"86-15824691859

86-18737101421","xiangri_08@hotmail.com  sophia.wang@ayjf-metal.com

nancylovecat@outlook.com","silicon metal 97/441/3303/2202/553/1101
Ferro Silicon 72/75
Ferro Silicon Alloy
Ferro Silicon Powder
Silicon Granes
Ferro Silicon Lumps
Calcium Silicon 3060
High Carbon Silicon
Silicon Carbide
Silicon Slag
Carbon Raiser
GPC Graphite Petroleum Coke Carbon Raiser",ORES AND ALLOYS
"Anyang Jinfengda Metallurgical Co., Ltd.",China,,meng@ayjfd.com,"Silicon Carbide 
Silicon Aluminium Barium Calcium
Silicon Metal
Ferro Silicon
Ferrosilicon Magnesium With Rare Earth
Carbon Additive
Nitrided Low Carbon Ferro Chrome
Silicon Slag
Silicon Calcium Cored Wire
Ferro Aluminium
Ferro Manganese
Manganese Briquettes
Electrolytic Manganese Metal Flakes
Calcium Silicon Alloy
Low Carbon Ferro Chrome
Manganese Metal Lumps
Ferro Silicon Chrome
Ferro Silicon Aluminium
Ferro Silicon Strontium Inoculant
Ferro Silicon Zirconium
Silicon Barium Calcium
Ferro Silicon Barium
Calcium Metal
",ORES AND ALLOYS
"Anyang Jinyuan Supply Chain Management Co., Ltd.",China,"86 18749310967
86 15226180657","sales01.jsc@jscferroalloy.com
jingjlily@gmail.com 
emma@ayjfd.com
jscferroalloy@jscferroalloy.com","Low/Micro/ MCFECR
SI Metal 2202/3303/441,553
FESI 72,75, with Low AL
FESI Boll/Briquette 55/60/65/70
Silicon Carbide 98.5/97/98/90/85
Silicon Carbon Alloy 68/65/60/55/45 C-15
Calcium Silicon
Ferro Manganese Silicon
Manganese Ingot
Electrolytic manganese metal / Flakes
HC/MC/LCFEMN
Recarburizer  Carbon 90%-98.5%
",ORES AND ALLOYS
"Anyang Lishi Industrial Co., Ltd",China,86-18739729326,sale02@lsalloy.com,"FeSi-72,75",ORES AND ALLOYS
"Anyang Lishi Industrial Co., Ltd",China,,sale08@lsalloy.com,"Calcium Silicon
Ferrosilicon75%/72%
Calcium Silicon Barium Inoculant
FeSiMg Nodulizer Manufacture (Own Factory)
Silicon Carbide
High/Medium/Low Carbon Ferrochrome
Silica Fume
Silicon Metal553/2202/3303/441/97
Soda Feldspar Powder",ORES AND ALLOYS
"Anyang Lishi Industrial Co., Ltd",China,86-15837207537,info@isalloy.com,"FeSi-72,75",ORES AND ALLOYS
"Anyang Weyan Alloy Co., Ltd",China,+86 18567802263,"aria@wyalloys.com
aniya@wyalloys.com","Fesi-72,75",ORES AND ALLOYS
"Anyang Xinlongsen Metallurgical Material Co.,LTD.",China,"86 19503638030
86 173 3727 5460","katherine@ayxlsyj.com
vera@ayxlsyj.com","ferroalloys, such as silicon metal/ferrosilicon/silicon-manganese/silicon-carbon alloy and so on",ORES AND ALLOYS
"Anyang xinyi Alloy Co., Ltd",China,86-15824614766,yanmeiaini2008@sina.com  niki@ayxinyi.cn,"FESI, Calcium Metal",ORES AND ALLOYS
"Anyang Yuda Metallurgical New Materials Co., Ltd",China,86-18695958515,1589869109@qq.com,"FeSiCa
FeSiMg
Inoculant
FeSiBa
FeSi
FeSiSr
FeSiZr
Ferro Silicon
Calcium Metal
Ca Wire
FeSi Briquette
SiC Briquette
Cored Wire.
etc",ORES AND ALLOYS
"Anyang Yuneng Metallurgy Refractory Co., Ltd",China,86-18530601892, info@yn-alloy.com,FESI,ORES AND ALLOYS
"Anyang Zhaojin Ferroalloys Co.,Ltd ",China,"86-15037248706
86 14709591117","adams@zjferroalloy.com
sales1@zjferroalloy.com
jackzheng@zjferroalloy.com","FESI75,72,65
Cal-sil
Low/Medium/high carbon ferromanganese
low/medium/high carbon ferrro chrome
silicon metal 441,553,3303,4402
ElMgMetal
silicon chrome alloy
Calcium silicon alloy55-28,60-30
magnese silicon alloy
carbon silicon alloy
silicon carbide
Casi cored wire50-28,55-28",ORES AND ALLOYS
"Anyang Zhengzhao Metallurgical Refractory Co.,Ltd",China,86 15514008571,catherine@zzferroalloy.com,FeSi,ORES AND ALLOYS
"Anyang Zhenxin Metallurgical Materials Co., Ltd.",China,"86 18637215035
86 18637217025
86 15565711616 ","sale04@zxferroalloy.com
sale07@zxferroalloy.com
sale05@zxferroalloy.com","FESI 75,72,70,65 ,45",ORES AND ALLOYS
"Aon Metal and Materials Co., Limited",China,86 166 2737 9495,albert.shen@aonmetal.com,"Alloy Cored Wire
Atomized Ferrosilicon
Calcium Cored Wire
Calcium Iron Cored Wire
Calcium Metal
Calcium Silicon
Calcium Silicon Cored Wire
Carbon Cored Wire
Carbon Raiser
Electrolytic Manganese Metal
Ferro Chrome
Ferro manganese
Ferro Silicon
Ferro Silicon Magnesium Nodularizer
Ferro Silicon Nitride
Ferrochrome Nitride
High Carbon Silicon
Inoculant In Casting
Magnesium Ingot
Nitrided Ferro Manganese",ORES AND ALLOYS
"Beijing LY Metals and Mining Co.,LTD",China,"86 13810689562 
86-13522973512","wanghuiying51@hotmail.com lucia@longyuebj.com kevin@longyuebj.com 
flora@longyuebj.com",FESI/Cal-sil,ORES AND ALLOYS
"ChangXing Ferroalloy Resources Co,.Ltd",China,86-18217175579,"helen@cxferroalloy.com
lang@cxferroalloy.com","FESI
Cal-sil
Chrome Ore
graphite electrode
manganese ore
HCFEMN
HCFECR
Fluorspar
SIMN ",ORES AND ALLOYS
"Chemetalloys Ltd?trading office)
Guizhou Huachang Industries Co., Ltd(factoty)",China,+86 17585418637,judy.q@chemetalloys.com  ,"CaSi, SiCr, BaSi, FeSi, Cr Metal, Mn Metal, Mg Metal, Ca Metal,Silicon metal,CaSiBa......
Nodulizer, inoculant, electrolytic manganese, refining slag, multi-element alloy, etc.
",ORES AND ALLOYS
"Chongqing Changru Trade Co.,Ltd.,",China,86 131 6968 4836,lightning214@cqcrmetal.com,FESI,ORES AND ALLOYS
"Coalician Carbon & Coke Co., Ltd",China,86-18909503714,lee@coalician.com,"*99.7% Electrolytic Manganese Metal Flake
*95% / 96% / 96.5% / 97% Electrolytic Manganese Metal Lump
*Manganese metal briquettes
*Ferro-silicon
*Ferro-chrome
",ORES AND ALLOYS
"Dometar Metal Co., Ltd",China,86-15317935715,"sales@dometar.com
hailicarbon@yandex.com","Calcined Anthracite Coal
Calcined Petrolium Coke
Grafhite Petrolium Coke
Potassium Humate
Electrcally Calcined Anthracite Coal
Sodium Humate
Potassium Fulvic Acid
Foundry Coke
Semi Coke
Silicon Carbide 
Ferro Silican
Anthracite Filter Media
Metallurgical Coke",ORES AND ALLOYS
EAI (East Asia Corporation Limited),China,86 13823743824,george@eaimetal.com,"FESI,SIMN,",ORES AND ALLOYS
Eastop,China,86-28-85369961,info@eastopsc.com,"Aluminium Ingot
Wolframite (type b)
Fluorspar Lump
Silicon Metal 2202
Foundary Coke
Fluospar Powder
Ferro Chrome
Carbon Raiser
Ferro Silicon Grade b
Electrolytic Copper
Foundary Pig Iron
Steel Making Pig Iron
High Titanium Slag
Ferro Silicon 72% / 75% 
Anthrasite Coal
Coal Briquette
Molybdenium Concentrate
Silicon Carbide
Silican Carbide Mass
Semi Coke
Metallurgicaal Coke
",ORES AND ALLOYS
Feng Erda Group,China,86 17863227516,china_d@fengerda.com,FESI,ORES AND ALLOYS
"Guizhou Nine Dragon Alloys., Ltd",China,86 13500780630,lilyx@dragonnorthwest.com,"Ferro Silicon
Carrburizers(Carbon Raisers)
Silicon Manganese Alloys
Barium-Silicon
Nodulizer
Strontium Silicon
Calcium Silicon
Magnesium Silicon
Ferro Manganese
Ferro Chrome
Ferro Molybdenum
",ORES AND ALLOYS
"Hainan Kris Trading Co., Ltd",China,"86 13201867379
86-15717098667","mani@hnkris.com
yilia@hnkris.com
tina@hnkris.com","FESI,Simetal,FECR",ORES AND ALLOYS
"Hainan West Asia Import and Export Group Co., Ltd",China,"86-16689780979
86 166 8972 1585
86 18976301609
86-16689721585","marina@wasiatrade.com
sales09@wasiatrade.com
merchant@wasiatrade.com
purchase@wasiatrade.com
info@wasiatrade.com
sales09@wasiatrade.com","Dinesh Sharma:
Ferro Titanium
Ferro Silicon
Silicon Metal
Carburizer
Recarburizer
Silicon Carbide
Silicon Balls
Silicon-Carbon Alloys
Calcium Silicon
Metallurgical Coke Grains",ORES AND ALLOYS
"Henan Bright Alloys Co.,Ltd",China,86 18637293997,02@brightalloys.com,FESI,ORES AND ALLOYS
